id,path,text
ID-AMMAR-SENTENCE-001,ID-AMMAR-SENTENCE-001.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-002,ID-AMMAR-SENTENCE-002.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-003,ID-AMMAR-SENTENCE-003.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-004,ID-AMMAR-SENTENCE-004.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-005,ID-AMMAR-SENTENCE-005.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-006,ID-AMMAR-SENTENCE-006.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-007,ID-AMMAR-SENTENCE-007.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-008,ID-AMMAR-SENTENCE-008.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-009,ID-AMMAR-SENTENCE-009.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-010,ID-AMMAR-SENTENCE-010.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-011,ID-AMMAR-SENTENCE-011.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-012,ID-AMMAR-SENTENCE-012.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-013,ID-AMMAR-SENTENCE-013.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-014,ID-AMMAR-SENTENCE-014.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-015,ID-AMMAR-SENTENCE-015.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-016,ID-AMMAR-SENTENCE-016.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-017,ID-AMMAR-SENTENCE-017.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-018,ID-AMMAR-SENTENCE-018.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-019,ID-AMMAR-SENTENCE-019.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-020,ID-AMMAR-SENTENCE-020.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-021,ID-AMMAR-SENTENCE-021.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-022,ID-AMMAR-SENTENCE-022.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-023,ID-AMMAR-SENTENCE-023.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-024,ID-AMMAR-SENTENCE-024.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-025,ID-AMMAR-SENTENCE-025.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-026,ID-AMMAR-SENTENCE-026.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-027,ID-AMMAR-SENTENCE-027.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-028,ID-AMMAR-SENTENCE-028.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-029,ID-AMMAR-SENTENCE-029.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-030,ID-AMMAR-SENTENCE-030.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-031,ID-AMMAR-SENTENCE-031.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-032,ID-AMMAR-SENTENCE-032.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-033,ID-AMMAR-SENTENCE-033.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-034,ID-AMMAR-SENTENCE-034.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-035,ID-AMMAR-SENTENCE-035.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-036,ID-AMMAR-SENTENCE-036.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-037,ID-AMMAR-SENTENCE-037.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-038,ID-AMMAR-SENTENCE-038.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-039,ID-AMMAR-SENTENCE-039.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-040,ID-AMMAR-SENTENCE-040.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-041,ID-AMMAR-SENTENCE-041.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-042,ID-AMMAR-SENTENCE-042.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-043,ID-AMMAR-SENTENCE-043.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-044,ID-AMMAR-SENTENCE-044.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-045,ID-AMMAR-SENTENCE-045.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-046,ID-AMMAR-SENTENCE-046.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-047,ID-AMMAR-SENTENCE-047.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-048,ID-AMMAR-SENTENCE-048.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-049,ID-AMMAR-SENTENCE-049.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-050,ID-AMMAR-SENTENCE-050.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-051,ID-AMMAR-SENTENCE-051.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-052,ID-AMMAR-SENTENCE-052.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-053,ID-AMMAR-SENTENCE-053.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-054,ID-AMMAR-SENTENCE-054.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-055,ID-AMMAR-SENTENCE-055.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-056,ID-AMMAR-SENTENCE-056.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-057,ID-AMMAR-SENTENCE-057.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-058,ID-AMMAR-SENTENCE-058.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-059,ID-AMMAR-SENTENCE-059.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-060,ID-AMMAR-SENTENCE-060.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-061,ID-AMMAR-SENTENCE-061.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-062,ID-AMMAR-SENTENCE-062.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-063,ID-AMMAR-SENTENCE-063.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-064,ID-AMMAR-SENTENCE-064.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-065,ID-AMMAR-SENTENCE-065.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-066,ID-AMMAR-SENTENCE-066.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-067,ID-AMMAR-SENTENCE-067.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-068,ID-AMMAR-SENTENCE-068.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-069,ID-AMMAR-SENTENCE-069.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-070,ID-AMMAR-SENTENCE-070.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-071,ID-AMMAR-SENTENCE-071.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-072,ID-AMMAR-SENTENCE-072.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-073,ID-AMMAR-SENTENCE-073.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-074,ID-AMMAR-SENTENCE-074.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-075,ID-AMMAR-SENTENCE-075.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-076,ID-AMMAR-SENTENCE-076.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-077,ID-AMMAR-SENTENCE-077.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-078,ID-AMMAR-SENTENCE-078.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-079,ID-AMMAR-SENTENCE-079.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-080,ID-AMMAR-SENTENCE-080.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-081,ID-AMMAR-SENTENCE-081.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-082,ID-AMMAR-SENTENCE-082.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-083,ID-AMMAR-SENTENCE-083.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-084,ID-AMMAR-SENTENCE-084.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-085,ID-AMMAR-SENTENCE-085.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-086,ID-AMMAR-SENTENCE-086.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-087,ID-AMMAR-SENTENCE-087.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-088,ID-AMMAR-SENTENCE-088.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-089,ID-AMMAR-SENTENCE-089.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-090,ID-AMMAR-SENTENCE-090.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-091,ID-AMMAR-SENTENCE-091.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-092,ID-AMMAR-SENTENCE-092.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-093,ID-AMMAR-SENTENCE-093.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-094,ID-AMMAR-SENTENCE-094.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-095,ID-AMMAR-SENTENCE-095.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-096,ID-AMMAR-SENTENCE-096.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-097,ID-AMMAR-SENTENCE-097.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-098,ID-AMMAR-SENTENCE-098.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-099,ID-AMMAR-SENTENCE-099.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
ID-AMMAR-SENTENCE-100,ID-AMMAR-SENTENCE-100.aac,biru hitam merah hijau kuning putih ungu coklat oren pink
